tag,model,seed,status,wall_clock_min,metrics_mse,metrics_mae,metrics_mspe,pred_sha256,true_sha256,dir,ingested_orphan
GDAXI,DeReFusion,2021,ok,50.26,0.2154393494,0.3331322670,0.0086530019,05ef60b2d26f91c843aa5f9c1fd12046296aecac4da4247bea196b07583b9086,0529060d5a5fdc5cac88ee575ae18bac0a26ac3d03677b3129d0dbaacbea6a1a,C:\Users\geng\lobster-link\geng-lobster\T005-c1\2021\GDAXI_DeReFusion,0
GDAXI,revin-DLinear,2021,stall,13.08,,,,,,,0
GLD,DeReFusion,2021,ok,42.22,0.3107882440,0.3912161589,0.0100554628,cf1baabcc40cdda82dfacd0cdd4670704f7b09f9c8b4ad9b4a73db6b7604718c,47b8466844ee38592331c525fb32059183c3d2ee66db6df547343d1fbd56f2dd,C:\Users\geng\lobster-link\geng-lobster\T005-c1\2021\GLD_DeReFusion,0
GLD,revin-DLinear,2021,stall,13.08,,,,,,,0
GOLD,DeReFusion,2021,ok,49.29,0.2620559037,0.3604030907,0.0085525457,7cb3e56c046ab410d7274d5331e3208816c10fab99bf19a353adf1533db9efd1,5e4fd07cabb4462e9aae4a6020d40386adb8ad53547189a23baa954147ea34a7,C:\Users\geng\lobster-link\geng-lobster\T005-c1\2021\GOLD_DeReFusion,0
GOLD,revin-DLinear,2021,stall,14.08,,,,,,,0
HSI,DeReFusion,2021,ok,70.19,0.1426339149,0.2719493210,73.4919052124,f8fd18259b906468614ea7c75e24a921819e1e0609ccff2f526540352ccbca53,d93fb12e9181d6f2b0f66752f59218cdfede2f4cc3b4eaef11cc7238978303c9,C:\Users\geng\lobster-link\geng-lobster\T005-c1\2021\HSI_DeReFusion,1
HSI,revin-DLinear,2021,ok,75.21,0.1379907876,0.2698225379,49.4645538330,92263d748a78b040b6180aff5dfeacb7c58dc92ec0fc628f1ce05ebb2795c019,d93fb12e9181d6f2b0f66752f59218cdfede2f4cc3b4eaef11cc7238978303c9,C:\Users\geng\lobster-link\geng-lobster\T005-c1\2021\HSI_revin-DLinear,1
JPM,DeReFusion,2021,ok,58.31,0.2364693284,0.3619806170,0.0111635206,0a8dad1dd456208046f1f76a694415fb286c6430e526a0369f30296375ac03ee,008587e64376d471c6d7f19f6839ad1bfa8faf4207908a7a889fdfb8b51b0dba,C:\Users\geng\lobster-link\geng-lobster\T005-c1\2021\JPM_DeReFusion,0
JPM,revin-DLinear,2021,ok,34.15,0.2417534739,0.3674408197,0.0113345617,49275fe5a5c9d0f8e8ec49e4cd45fe9d05ca952a388f81e3cadef826568dcfce,008587e64376d471c6d7f19f6839ad1bfa8faf4207908a7a889fdfb8b51b0dba,C:\Users\geng\lobster-link\geng-lobster\T005-c1\2021\JPM_revin-DLinear,0
META,DeReFusion,2021,ok,36.18,0.6665984392,0.6334995031,0.0235519670,8faf8f2f78ea4b9cef7ec30453c5d3265f55da1d6b6d505d454a447fe3e3bb49,d8d002e54a03f161d4413c8421d77b45534a4ad7653418c15ce32db8714e06cc,C:\Users\geng\lobster-link\geng-lobster\T005-c1\2021\META_DeReFusion,0
META,revin-DLinear,2021,stall,27.15,,,,,,,0
MSFT,DeReFusion,2021,ok,52.18,0.0899612233,0.2315423191,0.0082254987,3cda6752eb810e98392360b69db7a3b9dbe1a83110013f1ca485e2cde2039706,3d165382d672bfbe1a47f49e3dc52e1663a8119aa22281a2f53ba9c0d34882bc,C:\Users\geng\lobster-link\geng-lobster\T005-c1\2021\MSFT_DeReFusion,0
MSFT,revin-DLinear,2021,stall,17.11,,,,,,,0
N225,DeReFusion,2021,ok,29.15,0.2908276618,0.4150177240,0.0203075148,b6bd63e2fc505f2507336eb321a3a84d0b4f063f49c383f2894d256e63e1270b,f092b2e1cb30b153e9ff11d86dddf360dfae9808c80b5b5ca8525a9423492953,C:\Users\geng\lobster-link\geng-lobster\T005-c1\2021\N225_DeReFusion,0
N225,revin-DLinear,2021,stall,13.08,,,,,,,0
RUT,DeReFusion,2021,ok,53.3,0.0804423168,0.2157719135,0.0634517446,a94975425bc9af5f952bf13d83f2479b086ce4250d41739ba726264e89331d33,4933d3d2eae5d294e703c11c0dcae97b08c4d1f974c9e47cd6f467d432179d24,C:\Users\geng\lobster-link\geng-lobster\T005-c1\2021\RUT_DeReFusion,0
RUT,revin-DLinear,2021,ok,16.08,0.1280101985,0.2890138924,0.1070749015,6e3664e1553efd868e6f641b8c8219690f2351124e89b187c6bccd2d63224f12,4933d3d2eae5d294e703c11c0dcae97b08c4d1f974c9e47cd6f467d432179d24,C:\Users\geng\lobster-link\geng-lobster\T005-c1\2021\RUT_revin-DLinear,0
TLT,DeReFusion,2021,ok,32.17,0.0381368883,0.1548219323,0.0060443110,1f46194de96e8bcf8bd1aea246bf1cd12dbd71354d6d8e046181604d21aa4818,2eca3dfab076ee37ddc70ac7d409f8754b768803f524a716cf62406976abc7c3,C:\Users\geng\lobster-link\geng-lobster\T005-c1\2021\TLT_DeReFusion,0
TLT,revin-DLinear,2021,stall,29.15,,,,,,,0
TSLA,DeReFusion,2021,ok,43.21,0.1609070152,0.3038788438,0.0718852431,15b94cd030124f4d8f9a5dbb8939f84576004edf66abec4ca9a99fb70530675a,e365bc688c5003b6624817a2eb49df81b50c6b448a284f5bfb9bc6fd72bf4375,C:\Users\geng\lobster-link\geng-lobster\T005-c1\2021\TSLA_DeReFusion,0
TSLA,revin-DLinear,2021,stall,23.12,,,,,,,0
USDCAD,DeReFusion,2021,ok,41.26,0.1481016278,0.2935700119,0.0496307425,28322dc0f67d6421431cd2888dd57f5be538f88ff6f5b1dd532ff1989192dd1d,8cb1658c21bc32337151f21cac50e2183d7b436644538c862fa80c4f7cb631c8,C:\Users\geng\lobster-link\geng-lobster\T005-c1\2021\USDCAD_DeReFusion,0
USDCAD,revin-DLinear,2021,stall,31.31,,,,,,,0
WMT,DeReFusion,2021,ok,34.21,0.2867483795,0.4079119265,0.0116060171,7efbe58b71b09912d28cdcf97a930727bdaffc4e51393a86e7716757c3ccd11e,d61698c4ff5229ecb9f5b6f0298ae0f72dc2daca1d7ba8ebe99e3e2aa9450cb1,C:\Users\geng\lobster-link\geng-lobster\T005-c1\2021\WMT_DeReFusion,0
WMT,revin-DLinear,2021,stall,23.14,,,,,,,0
WTI,DeReFusion,2021,ok,25.08,0.0563779511,0.1914113909,27.0594997406,49871f7d46a54ff50a18dc911e313f67e6602cd104d44ad6f171515a761a81ae,9dad7c4cb3880085ad39561f47788ca9582e2d7964a109c7260f16e1f8184ec3,C:\Users\geng\lobster-link\geng-lobster\T005-c1\2021\WTI_DeReFusion,0
WTI,revin-DLinear,2021,ok,38.2,0.0439630970,0.1679092497,21.4550552368,da12c27556459f209d8ba37c296476f18f83bd9b02db4adde6a23941accde3db,9dad7c4cb3880085ad39561f47788ca9582e2d7964a109c7260f16e1f8184ec3,C:\Users\geng\lobster-link\geng-lobster\T005-c1\2021\WTI_revin-DLinear,0
XOM,DeReFusion,2021,ok,42.15,0.0989040732,0.2407534868,0.0200176910,d34b03c83bea0d3dc6fef7d0e38e3ca4b9fd97bc369b1aa0885ee54a82bf70d8,c8484713d4d6d318c36d18fce6a8331a89289502865651f67dba5b0aadd62108,C:\Users\geng\lobster-link\geng-lobster\T005-c1\2021\XOM_DeReFusion,0
XOM,revin-DLinear,2021,stall,15.1,,,,,,,0
AAPL,DeReFusion,2022,ok,54.28,0.0823264942,0.2215420902,0.0117473798,70c95e6b5bcbbf31883f597687c73cc355975516dfbc76dbb0972e3dc19684dd,3b60605d2537bf983f5063d7447ed9d8698ee548185f47bf64ddfe8d11154070,C:\Users\geng\lobster-link\geng-lobster\T005-c1\2022\AAPL_DeReFusion,0
AAPL,revin-DLinear,2022,stall,14.08,,,,,,,0
AMZN,DeReFusion,2022,ok,44.22,0.0870704949,0.2243241221,0.0201313086,151142fe9fb774b61f5cd5c084849eacda36ae485306f764c8b5de1a9019b19b,34455312abb45725ea25d01625df31e473c955653ee1090c87e7d6a6ecab8e12,C:\Users\geng\lobster-link\geng-lobster\T005-c1\2022\AMZN_DeReFusion,0
AMZN,revin-DLinear,2022,ok,34.11,0.0897786692,0.2310910225,0.0210179370,73a9b48556dcd486725edbfc98ecf87deea9aa5ab40680347926224faf0451f9,34455312abb45725ea25d01625df31e473c955653ee1090c87e7d6a6ecab8e12,C:\Users\geng\lobster-link\geng-lobster\T005-c1\2022\AMZN_revin-DLinear,0
AUDUSD,DeReFusion,2022,ok,20.07,0.0907923952,0.2380007952,0.0283559859,8147806a6e552f7aa9f9580c37c766ccfe1c871d9b39fe58b3ca45a80b3ac044,c3c695c27683281aa78120880d9f788cb177639289eb2c159a9d73668330d8f8,C:\Users\geng\lobster-link\geng-lobster\T005-c1\2022\AUDUSD_DeReFusion,0
AUDUSD,revin-DLinear,2022,stall,17.07,,,,,,,0
FTSE,DeReFusion,2022,ok,24.13,0.1917451769,0.3280301690,0.0355344266,41eaaba16adc7e790d5ccd08497c02b880405e2bb8b85cedb88f0e5bc09ca0a3,eb92d5a70620185a8541c0869763fa5e0405a9cd21a42cab830ab43ffa581789,C:\Users\geng\lobster-link\geng-lobster\T005-c1\2022\FTSE_DeReFusion,0
FTSE,revin-DLinear,2022,stall,23.12,,,,,,,0
GBPUSD,DeReFusion,2022,ok,52.18,0.0793954283,0.2248882651,50.7925529480,0cde3819e74add30600ed19624f18f577df57c07683c948449dff443ca4031be,c0f5cebda66209458a3e36de36f8b67e81084b6759f8ab4f4749a8edc693f566,C:\Users\geng\lobster-link\geng-lobster\T005-c1\2022\GBPUSD_DeReFusion,0
GBPUSD,revin-DLinear,2022,stall,15.06,,,,,,,0
GDAXI,DeReFusion,2022,ok,51.22,0.2058923841,0.3236656189,0.0083646812,aa35941ea8d98dbe4782243e5dccc9f0ccf25e47b2a85b840d7f37bdfcf6dcd2,0529060d5a5fdc5cac88ee575ae18bac0a26ac3d03677b3129d0dbaacbea6a1a,C:\Users\geng\lobster-link\geng-lobster\T005-c1\2022\GDAXI_DeReFusion,0
GDAXI,revin-DLinear,2022,stall,17.08,,,,,,,0
GLD,DeReFusion,2022,ok,51.22,0.2722824216,0.3639503419,0.0088718021,be123a804429c20b538fd63aa5f2e385c84e25dc3790e29876919c5f2c395292,47b8466844ee38592331c525fb32059183c3d2ee66db6df547343d1fbd56f2dd,C:\Users\geng\lobster-link\geng-lobster\T005-c1\2022\GLD_DeReFusion,0
GLD,revin-DLinear,2022,stall,25.61,,,,,,,0
